siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-01 10:00",63.5
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-01 10:00",18
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-01 10:00",7.1
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-01 10:00",8
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-01 11:00",1
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-01 11:00",0.28
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-01 11:00",64.3
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-01 11:00",15
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-01 11:00",6.4
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-01 11:00",13
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-01 12:00",1.1
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-01 12:00",0.32
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-01 12:00",54.4
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-01 12:00",14
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-01 12:00",8.7
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-01 12:00",10
14,古亭,臺北市,1,二氧化硫,SO2,ppb,"2024-05-01 13:00",1
14,古亭,臺北市,2,一氧化碳,CO,ppm,"2024-05-01 13:00",0.34
14,古亭,臺北市,3,臭氧,O3,ppb,"2024-05-01 13:00",47.4
14,古亭,臺北市,4,懸浮微粒,PM10,μg/m3,"2024-05-01 13:00",17
14,古亭,臺北市,7,二氧化氮,NO2,ppb,"2024-05-01 13:00",11.9
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,"2024-05-01 13:00",10
