Epoch,Train_Loss,Test_Loss,Train_Accuracy,Test_Accuracy
1,152.53024843304428,55.89072516256449,0.27319587628865977,0.42857142857142855
2,63.263249081434665,30.71753567092273,0.5103092783505154,0.5918367346938775
3,41.93961433682245,30.598846527994894,0.5463917525773195,0.5510204081632653
4,37.24852083823116,31.02365642664384,0.5824742268041238,0.5918367346938775
5,35.42003913676923,32.12218552219625,0.634020618556701,0.5918367346938775
6,34.83711405636109,33.21016406039802,0.6134020618556701,0.5510204081632653
7,33.292925111872634,36.313520696698404,0.6597938144329897,0.5306122448979592
8,33.41750090975631,35.22146752172587,0.6288659793814433,0.5714285714285714
9,31.66339030310742,30.050010885511124,0.6391752577319587,0.6122448979591837
10,31.744403182567318,33.743275829723906,0.654639175257732,0.5510204081632653
11,31.447436783309143,31.321190011744598,0.6494845360824743,0.5918367346938775
12,30.941702337609122,32.38026434548047,0.6701030927835051,0.5714285714285714
13,30.19844348175624,29.299503559968908,0.6701030927835051,0.6530612244897959
14,30.655180513340326,27.942586049741628,0.6649484536082474,0.6122448979591837
15,30.05062382153629,30.564058399930293,0.6649484536082474,0.6326530612244898
16,29.1585816006397,29.55588404013186,0.654639175257732,0.5918367346938775
17,28.627179163095263,27.929454866720704,0.654639175257732,0.5918367346938775
18,28.571713963273876,27.26470148441743,0.6752577319587629,0.6122448979591837
19,28.366732616399982,28.149834435813283,0.6649484536082474,0.6326530612244898
20,27.926554269397382,28.170761085286433,0.6752577319587629,0.6326530612244898
21,27.70583321522806,27.979816799261133,0.6701030927835051,0.6326530612244898
22,26.98265930779816,27.62767107146127,0.654639175257732,0.6326530612244898
23,26.446627327538643,27.11385856842508,0.6804123711340206,0.6326530612244898
24,26.24526449239131,28.956283687328806,0.6804123711340206,0.6122448979591837
25,25.765049902587823,30.630071927090082,0.6958762886597938,0.6326530612244898
26,25.433293483306453,30.12781478434193,0.6958762886597938,0.6326530612244898
27,25.37981187632864,29.986293354812933,0.6907216494845361,0.6530612244897959
28,24.59252119717217,26.413513096011414,0.6804123711340206,0.5918367346938775
29,24.834511259897162,25.638180095322276,0.7164948453608248,0.5918367346938775
30,24.03761217627943,26.00731979340923,0.6907216494845361,0.5918367346938775
31,23.770937874452354,27.121153139490254,0.6855670103092784,0.6122448979591837
32,24.60957735135537,25.878036922338058,0.7061855670103093,0.6326530612244898
33,23.365974733817207,26.881789818102,0.6752577319587629,0.6122448979591837
34,23.18765599449578,26.803027493613108,0.7268041237113402,0.6122448979591837
35,22.730631373438637,27.895487636935954,0.7061855670103093,0.6122448979591837
36,22.763460016972626,28.658705049631546,0.7216494845360825,0.673469387755102
37,22.74743593891257,26.66451788435177,0.7164948453608248,0.6122448979591837
38,22.82733027637005,27.59229243288235,0.6958762886597938,0.6122448979591837
39,21.898003149047955,25.184776831646356,0.7010309278350515,0.6122448979591837
40,21.978192670251598,27.04454090643902,0.7268041237113402,0.6530612244897959
41,21.87036783824262,29.32862949371338,0.7010309278350515,0.6326530612244898
42,21.62485124800623,29.92658809739716,0.7164948453608248,0.6326530612244898
43,21.614476089317773,27.24160411649821,0.7164948453608248,0.6326530612244898
44,21.774887674862576,27.707076773351552,0.711340206185567,0.6122448979591837
45,20.566635129378014,24.681201423917496,0.7319587628865979,0.5714285714285714
46,21.05751915721549,26.304279176556335,0.7319587628865979,0.6326530612244898
