"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)"
"19","1013.6","1017.3","1015.2","2025/01/19 09:52:00","1011.6","2025/01/19 15:52:00","15.0","16.8","2025/01/19 00:01:00","12.5","2025/01/19 23:45:00","12.6","86","71","2025/01/19 19:03:00","1.2","200","8.0","340","2025/01/19 06:45:00","1.5","4.2","0.5","2025/01/19 03:04:00","0.5","2025/01/19 03:04:00","0.0","0.0","2.78","-0.2","2","2025/01/19 13:00:00"
"20","1013.6","1017.2","1015.6","2025/01/20 22:37:00","1011.8","2025/01/20 13:07:00","16.1","20.6","2025/01/20 11:33:00","11.0","2025/01/20 05:54:00","8.7","63","42","2025/01/20 11:58:00","2.5","100","11.5","80","2025/01/20 15:06:00","0.0","0.0","0.0","--","0.0","--","6.3","58.5","13.76","3.0","6","2025/01/20 12:00:00"
"21","1015.0","1018.6","1016.7","2025/01/21 08:44:00","1012.5","2025/01/21 14:35:00","18.3","22.2","2025/01/21 13:58:00","15.5","2025/01/21 04:44:00","10.4","60","47","2025/01/21 13:05:00","3.5","100","13.3","140","2025/01/21 15:33:00","0.0","0.0","0.0","--","0.0","--","9.3","86.2","15.84","3.4","6","2025/01/21 13:00:00"
"22","1014.2","1017.8","1015.6","2025/01/22 08:28:00","1012.2","2025/01/22 14:53:00","20.1","23.2","2025/01/22 14:15:00","17.5","2025/01/22 23:58:00","13.2","65","51","2025/01/22 11:24:00","1.7","110","10.2","130","2025/01/22 02:34:00","0.5","1.4","0.5","2025/01/22 23:24:00","0.5","2025/01/22 23:24:00","0.0","0.0","6.88","-0.8","4","2025/01/22 12:00:00"
"23","1014.1","1017.7","1016.2","2025/01/23 09:18:00","1012.2","2025/01/23 14:55:00","17.4","19.7","2025/01/23 13:55:00","16.3","2025/01/23 23:58:00","14.2","82","65","2025/01/23 14:55:00","1.4","320","7.2","340","2025/01/23 15:11:00","0.5","1.2","0.5","2025/01/23 03:30:00","0.5","2025/01/23 03:30:00","1.2","11.1","5.95","-1.4","3","2025/01/23 15:00:00"
"24","1012.4","1016.0","1013.7","2025/01/24 00:08:00","1010.2","2025/01/24 14:14:00","19.2","23.5","2025/01/24 13:29:00","15.8","2025/01/24 03:34:00","15.0","77","60","2025/01/24 13:40:00","1.9","100","9.5","100","2025/01/24 14:32:00","T","0.6","T","2025/01/24 02:45:00","T","2025/01/24 02:45:00","5.4","49.8","13.15","-2.3","6","2025/01/24 13:00:00"
"25","1013.9","1017.5","1015.6","2025/01/25 09:28:00","1012.4","2025/01/25 02:26:00","18.8","20.0","2025/01/25 11:08:00","18.0","2025/01/25 20:53:00","14.1","74","67","2025/01/25 23:27:00","2.2","100","9.7","50","2025/01/25 20:21:00","T","1.0","T","2025/01/25 00:01:00","T","2025/01/25 00:01:00","0.3","2.8","6.71","-1.9","3","2025/01/25 11:00:00"
"26","1015.5","1019.1","1017.7","2025/01/26 21:52:00","1013.6","2025/01/26 15:05:00","16.4","18.7","2025/01/26 10:46:00","12.9","2025/01/26 23:53:00","12.4","78","63","2025/01/26 11:17:00","1.8","100","8.4","80","2025/01/26 04:20:00","18.0","9.3","3.0","2025/01/26 17:37:00","7.5","2025/01/26 17:05:00","0.0","0.0","2.01","/","2","2025/01/26 11:00:00"
"27","1019.8","1023.5","1022.4","2025/01/27 23:57:00","1016.8","2025/01/27 00:01:00","11.4","13.4","2025/01/27 15:07:00","10.0","2025/01/27 23:24:00","6.7","74","48","2025/01/27 14:47:00","1.9","330","10.2","330","2025/01/27 03:32:00","9.5","9.7","1.0","2025/01/27 01:43:00","2.5","2025/01/27 01:31:00","2.6","23.9","5.27","/","3","2025/01/27 15:00:00"
"28","1022.9","1026.6","1025.2","2025/01/28 23:17:00","1020.2","2025/01/28 14:14:00","12.5","16.8","2025/01/28 13:23:00","8.3","2025/01/28 05:30:00","4.7","60","43","2025/01/28 11:07:00","2.4","90","11.4","60","2025/01/28 15:02:00","0.0","0.0","0.0","--","0.0","--","9.4","86.2","16.90","3.2","7","2025/01/28 12:00:00"
"29","1022.7","1026.4","1025.1","2025/01/29 00:01:00","1020.6","2025/01/29 14:49:00","14.2","17.9","2025/01/29 13:53:00","11.5","2025/01/29 05:17:00","4.6","52","43","2025/01/29 09:58:00","3.7","100","12.5","90","2025/01/29 12:59:00","0.0","0.0","0.0","--","0.0","--","9.4","86.1","17.69","3.8","7","2025/01/29 13:00:00"
"30","1017.9","1021.5","1021.0","2025/01/30 00:04:00","1014.6","2025/01/30 15:40:00","17.7","22.6","2025/01/30 14:30:00","13.7","2025/01/30 00:01:00","8.2","54","40","2025/01/30 12:51:00","3.0","100","10.1","110","2025/01/30 00:50:00","0.0","0.0","0.0","--","0.0","--","10.3","94.2","17.77","3.5","7","2025/01/30 13:00:00"
"31","1013.6","1017.2","1016.2","2025/01/31 00:01:00","1011.7","2025/01/31 15:11:00","19.2","22.1","2025/01/31 14:02:00","17.4","2025/01/31 23:59:00","13.8","73","46","2025/01/31 12:54:00","2.0","110","9.0","80","2025/01/31 08:38:00","8.0","6.2","1.5","2025/01/31 20:53:00","2.5","2025/01/31 17:10:00","0.1","0.9","7.02","/","4","2025/01/31 13:00:00"
